CUST_UNQ_ID,CUST_ID,LEAD_ID,BATCH_ID,DEAL_ID_APP_ID,PSX_BATCH_ID,NAME,EMPLOYER_NAME,RELATION_NAME,FIRST_NAME,MIDDLE_NAME,LAST_NAME,EXTRA_NAME_1,EXTRA_NAME_2,DOB_DOI,PAN,PASSPORT,VOTER_ID,AADHAAR,DRIVING_LICENSE,RATION_CARD,NREGA,CIN,GSTIN,TAN,BANK_ACCOUNT_NUMBER,LOYALITY_NUMBER,UCIC,CREDIT_CARD_NUMBER,DG_FILLER_COLUMN_1,DG_FILLER_COLUMN_2,DG_FILLER_COLUMN_3,DG_FILLER_COLUMN_4,DG_FILLER_COLUMN_5,DG_FILLER_COLUMN_6,DG_FILLER_COLUMN_7,DG_FILLER_COLUMN_8,DG_FILLER_COLUMN_9,DG_FILLER_COLUMN_10,SOURCE_SYSTEM,CUSTOMER_CATEGORY,GENDER,CUSTOMER_TYPE,RELATION_TYPE,CUSTOMER_STATUS,NAME_SALUTATION,REMARKS,Office_ADDRESS,Residence_CITY,Residence_PINCODE,Residence_STATE,Residence_COUNTRY,Residence_ADDRESS_TYPE,Residence_ADDRESS,ADDRESS_LINE_3,Office_PHONE,Residence_PHONE_TYPE,Residence_EMAIL_ID,Residence_EMAIL_TYPE,RPT_FILLER_COLUMN_1,RPT_FILLER_COLUMN_2,RPT_FILLER_COLUMN_3,RPT_FILLER_COLUMN_4,RPT_FILLER_COLUMN_5
I011,C_I_12,L_I_12,B_I_12,D_I_12,PS_B_12,reddy p sai kiran,mounika,ammulu,tarun,Tanvi Malhotra,Rahul Bansal,Sneha Mehta,Ishita Sharma,27-01-1990,QWERT8523L,PA5243730,EPIC/9607 3458,222222222222,XZAQM1234567890,13285674901,1405983762,U49683KA2013PTC,30571968482,RTYU78901G,INDUS456789012,LOYAL35271846,UCIC300014603,3201547865920431,DG_1_12,DG_2_12,DG_3_12,DG_4_12,DG_5_12,DG_6_12,DG_7_12,DG_8_12,DG_9_12,DG_10_12,Finacle,Co-Applicant,Male,Individual,Mother,Y,Mrs,REMARK_12,"19-5-678/43L, Green Valley, Beside Sunshine School, Kukatpally, Hyderabad",Warangal,500002,Kerala,I~N*D@I&A,TEMPORARY,"F-567, Tulip Gardens, Kondapur, Hyderabad, Telangana 500084",Kompally,040-22334455,PERSONAL,olivia.moore678@yahoo.com,TEMPORARY,RPT_1_12,RPT_2_12,RPT_3_12,RPT_4_12,RPT_5_12
I012,C_I_13,L_I_13,B_I_13,D_I_13,PS_B_13,reddy p sai,asritha,pinky,tharun,Varun Kumar,Pooja Joshi,Kavya Bansal,Adarsh Kapoor,03-11-2001,ZXCVB9634M,PA5243755,EPIC/5246 8932,333333333333,PLQWE2345678901,27359108426,7928645103,U78462GJ2010PTC,72983610541,NGPO43210H,KOTAK987654321,LOYAL82749361,UCIC300014604,6437890123456780,DG_1_13,DG_2_13,DG_3_13,DG_4_13,DG_5_13,DG_6_13,DG_7_13,DG_8_13,DG_9_13,DG_10_13,Finacle,Applicant,Female,Individual,Father,N,Ms,REMARK_13,"11-3-210/76S, Harmony Enclave, Opposite Grand Mall, Banjara Hills, Hyderabad",Rajahmundry,600002,Madhya Pradesh,I-N@D!i@a,TEMPORARY,"876, Ganga Residency, Kothrud, Pune, Maharashtra 411038",Moosapet,040-33445566,RESIDENCE,jason.brown345@gmail.com,PERSONAL,RPT_1_13,RPT_2_13,RPT_3_13,RPT_4_13,RPT_5_13
I013,C_I_14,L_I_14,B_I_14,D_I_14,PS_B_14,sai p reddy,aruna ,soumyw,loki,Pooja Sharma,Vikram Mehta,Tanay Iyer,Sneha Iyer,13-05-1976,POIUY2587N,PA5243788,EPIC/1873 4105,444444444444,NMBTY3456789012,23847150236,6052179384,U30978UP2015PTC,14326759840,QWED56789J,BOB2345678901,LOYAL61492738,UCIC300014605,1098267345678902,DG_1_14,DG_2_14,DG_3_14,DG_4_14,DG_5_14,DG_6_14,DG_7_14,DG_8_14,DG_9_14,DG_10_14,CRMS,Applicant,Male,Individual,Mother,Y,Smt,REMARK_14,"14-9-543/21D, Blossom Residency, Near Happy Kids School, Kothapet, Hyderabad",Dhanbad,700002,Maharashtra,I&n#d_i$a,PERMANENT,"G-210, Raj Bhavan Road, Somajiguda, Hyderabad, Telangana 500082",Kachiguda,040-44556677,PERSONAL,emma.taylor901@outlook.com,OFFICE,RPT_1_14,RPT_2_14,RPT_3_14,RPT_4_14,RPT_5_14
I014,C_I_15,L_I_15,B_I_15,D_I_15,PS_B_15,kiran reddy,aruna ,soumya,lokesh,Arjun Bansal,Sneha Khurana,Ananya Khurana,Kabir Bansal,22-08-1987,LKJHG1470O,PA5243801,EPIC/3960 7182,555555555555,ASDFG4567890123,43206591784,3189746052,U67415DL2018PTC,56780431295,MNBV54321L,RBL7654321098,LOYAL13948257,UCIC300014606,8742056193487526,DG_1_15,DG_2_15,DG_3_15,DG_4_15,DG_5_15,DG_6_15,DG_7_15,DG_8_15,DG_9_15,DG_10_15,Finacle,Co-Applicant,Male,Corporate,Spouse,Y,Sri,REMARK_15,"8-6-789/32T, Paradise Heights, Beside Oasis Park, Malkajgiri, Secunderabad",Allahabad,800002,Manipur,I*N&D!A,TEMPORARY,"345, DLF Phase-III, Sector 24, Gurugram, Haryana 122010",Alwal,040-55667788,OFFICE,matthew.hill567@yahoo.com,PERMANENT,RPT_1_15,RPT_2_15,RPT_3_15,RPT_4_15,RPT_5_15
I015,C_I_16,L_I_16,B_I_16,D_I_16,PS_B_16,tharun,arun,rajesh,Pari Iyer,Aaradhya Mehta,Tanvi Kapoor,Aisha Thakur,Pooja Verma,04-02-1978,QWERT3698P,PA5243823,EPIC/8743 1029,666666666666,LKJHG5678901234,13682049573,4971308256,U52369RJ2012PTC,92605847310,ZAQW23456M,UNION87654321,LOYAL52014378,UCIC300014607,5312986740567238,DG_1_16,DG_2_16,DG_3_16,DG_4_16,DG_5_16,DG_6_16,DG_7_16,DG_8_16,DG_9_16,DG_10_16,Finacle,Co-Applicant,Female,Corporate,Spouse,N,Mr,REMARK_16,"22-7-654/98A, Ocean View, Near Infinity Mall, Kompally, Hyderabad",Madurai,900002,Meghalaya,I.n.d.i.a,TEMPORARY,"H-456, Diamond Harbour Road, Behala, Kolkata, West Bengal 700034",Tarnaka,040-66778899,RESIDENCE,ava.green234@gmail.com,TEMPORARY,RPT_1_16,RPT_2_16,RPT_3_16,RPT_4_16,RPT_5_16
I016,C_I_17,L_I_17,B_I_17,D_I_17,PS_B_17,sai tharun,ramesh,rakul,Karthik Bansal,Aryan Joshi,Arnav Bansal,Vikram Khanna,Arnav Thakur,16-03-2005,ZXCVB9512Q,PA5243850,EPIC/5312 6948,777777777777,VBNMK6789012345,27931465082,2386951740,U24578MP2016PTC,48063519276,XCVB78901N,HSBC543210987,LOYAL94761832,UCIC300014608,8705321643987652,DG_1_17,DG_2_17,DG_3_17,DG_4_17,DG_5_17,DG_6_17,DG_7_17,DG_8_17,DG_9_17,DG_10_17,Finacle,Co-Applicant,Male,Corporate,Father,N,Mrs,REMARK_17,"16-2-345/76B, Graceful Gardens, Opposite City Hospital, Kukatpally, Hyderabad",Faridabad,110003,Mizoram,I#N^D!A,PERMANENT,"789, Sai Krupa, Kalyani Nagar, Pune, Maharashtra 411014",Karmanghat,040-77889900,PERSONAL,ethan.johnson789@hotmail.com,PERSONAL,RPT_1_17,RPT_2_17,RPT_3_17,RPT_4_17,RPT_5_17
I017,C_I_18,L_I_18,B_I_18,D_I_18,PS_B_18,adepu sai tharun,ramesh,kajl,Tanvi Thakur,Trisha Khanna,Ayesha Kumar,Sanjana Bansal,Riya Bansal,23-01-1982,POIUY7536R,PA5243877,EPIC/2968 8351,888888888888,ZXCVB7890123456,23968725104,7502183649,U90245KL2013PTC,61520987463,POIU34567P,CITI7890123456,LOYAL67413589,UCIC300014609,3657820198432567,DG_1_18,DG_2_18,DG_3_18,DG_4_18,DG_5_18,DG_6_18,DG_7_18,DG_8_18,DG_9_18,DG_10_18,Finacle,Co-Applicant,Female,Corporate,Mother,Y,Smt,REMARK_18,"13-4-876/23N, Silver Springs, Near Rainbow School, Gachibowli, Hyderabad",Bikaner,201303,Nagaland,I-N-D-I-A,TEMPORARY,"I-101, Pratham Residency, Sector 50, Noida, Uttar Pradesh 201303",Manikonda,040-88990011,OFFICE,mia.jackson345@yahoo.com,OFFICE,RPT_1_18,RPT_2_18,RPT_3_18,RPT_4_18,RPT_5_18
I018,C_I_19,L_I_19,B_I_19,D_I_19,PS_B_19,tarun,ram,kajal,Armaan Khurana,Dev Kapoor,Karthik Thakur,Varun Mehta,Advait Iyer,05-06-1997,LKJHG2587S,PA5243902,EPIC/1085 6274,999999999999,QWERT8901234567,43190587642,9643852170,U36159BR2019PTC,39271804568,RTYU67890Q,IOB1234567890,LOYAL28057361,UCIC300014610,2843615091738452,DG_1_19,DG_2_19,DG_3_19,DG_4_19,DG_5_19,DG_6_19,DG_7_19,DG_8_19,DG_9_19,DG_10_19,Finnone,Co-Applicant,Male,Individual,Guardian,N,Ms,REMARK_19,"9-1-432/65R, Crystal Cove, Beside Dreamland Theater, Jubilee Hills, Hyderabad",Gorakhpur,400003,Odisha,I@n^d%i~a,PERMANENT,"567, Lakshmi Vihar, Gandhipuram, Coimbatore, Tamil Nadu 641012",Nagole,040-99001122,RESIDENCE,william.martin890@gmail.com,TEMPORARY,RPT_1_19,RPT_2_19,RPT_3_19,RPT_4_19,RPT_5_19
I019,C_I_20,L_I_20,B_I_20,D_I_20,PS_B_20,a sai tharun,aramu,agarwal,Aaradhya Reddy,Kavya Singh,Anjali Mehta,Aradhya Thakur,Nisha Mehta,19-07-1970,QWERT1470T,PA5243925,EPIC/7856 3401,100000000000,POIUY9012345678,13476209835,5186342097,U18046TN2020PTC,35782469018,LKJH12345R,DBS8765432109,LOYAL13586924,UCIC300014611,7468109256784301,DG_1_20,DG_2_20,DG_3_20,DG_4_20,DG_5_20,DG_6_20,DG_7_20,DG_8_20,DG_9_20,DG_10_20,CRMS,Applicant,Male,Individual,Spouse,Y,Sri,REMARK_20,"20-5-678/43P, Serenity Plaza, Opposite Urban Park, Madhapur, Hyderabad",Belgaum,500003,Punjab,I@N-D%I&A,TEMPORARY,"J-890, Tulsi Dham, Vasai West, Mumbai, Maharashtra 401201",Hafeezpet,040-00112233,PERSONAL,chloe.morris123@hotmail.com,PERMANENT,RPT_1_20,RPT_2_20,RPT_3_20,RPT_4_20,RPT_5_20
I020,C_I_21,L_I_21,B_I_21,D_I_21,PS_B_21,tharun sai,ramu,nani,Varun Bansal,Yuvraj Verma,Tanisha Iyer,Nisha Verma,Karthik Bansal,27-03-2003,ZXCVB3698U,PA5243940,EPIC/4523 1697,200000000000,MNBVC0123456789,27503841926,3721094856,U49837KA2017PTC,24683095711,ZXCV56789S,UCO4567890123,LOYAL49832716,UCIC300014612,8954261340756382,DG_1_21,DG_2_21,DG_3_21,DG_4_21,DG_5_21,DG_6_21,DG_7_21,DG_8_21,DG_9_21,DG_10_21,Finacle,Applicant,Male,Individual,Spouse,Y,Mr,REMARK_21,"6-3-210/32L, Tranquil Towers, Near Harmony Mall, Kondapur, Hyderabad",Rohtak,600003,Rajasthan,I-N-D-I-A,PERMANENT,"K-123, Green Meadows, HSR Layout, Bengaluru, Karnataka 560102",Serilingampally,040-98765432,RESIDENCE,benjamin.clark456@gmail.com,OFFICE,RPT_1_21,RPT_2_21,RPT_3_21,RPT_4_21,RPT_5_21
I021,C_I_22,L_I_22,B_I_22,D_I_22,PS_B_22,manoj,om kumar reddy,lucky,Pooja Iyer,Anjali Bansal,Vihaan Sharma,Yuvan Bansal,Aisha Thakur,18-11-1971,POIUY6321V,PA5243966,EPIC/6097 5284,300000000000,ZXCVB1234567890,23198465725,8604731952,U74568GJ2014PTC,70928154638,NGPO87654T,CENTRAL9876543,LOYAL76540293,UCIC300014613,7130592846718043,DG_1_22,DG_2_22,DG_3_22,DG_4_22,DG_5_22,DG_6_22,DG_7_22,DG_8_22,DG_9_22,DG_10_22,Finacle,Applicant,Male,Individual,Spouse,N,Ms,REMARK_22,"15-8-543/21R, Regal Residency, Beside Elegant Hospital, Ameerpet, Hyderabad",Nellore,700003,Sikkim,I_n@d%i*a,TEMPORARY,"567, Silver Springs, Gomti Nagar, Lucknow, Uttar Pradesh 226010",Falaknuma,040-87654321,OFFICE,avery.hall789@outlook.com,TEMPORARY,RPT_1_22,RPT_2_22,RPT_3_22,RPT_4_22,RPT_5_22
I022,C_I_23,L_I_23,B_I_23,D_I_23,PS_B_23,manoj kumar,bala,chinnu,Dev Khanna,Kabir Malhotra,Aisha Singh,Pooja Iyer,Rohan Mehta,30-05-1998,LKJHG7410W,PA5243980,EPIC/2478 7635,400000000000,QWERT2345678901,43915670284,2948571306,U31687UP2011PTC,83150476289,QWED23456U,SYNDICATE3210987,LOYAL32170984,UCIC300014614,6293084751362079,DG_1_23,DG_2_23,DG_3_23,DG_4_23,DG_5_23,DG_6_23,DG_7_23,DG_8_23,DG_9_23,DG_10_23,Finacle,Applicant,Female,Individual,Spouse,Y,Mrs,REMARK_23,"17-2-345/76M, Diamond Heights, Opposite Grand Mall, LB Nagar, Hyderabad",Tirupati,800003,Tamil Nadu,I-N-D!A,TEMPORARY,"456, Paradise Enclave, Sector 12, Faridabad, Haryana 121007",Uppal,040-76543210,PERSONAL,victoria.wood234@yahoo.com,PERSONAL,RPT_1_23,RPT_2_23,RPT_3_23,RPT_4_23,RPT_5_23
I023,C_I_24,L_I_24,B_I_24,D_I_24,PS_B_24,tharun,vardhan,chinna,Aisha Mehta,Sneha Iyer,Arjun Khurana,Trisha Mehta,Tanvi Kapoor,09-04-1988,QWERT2587X,PA5244005,EPIC/3146 9852,500000000000,ASDFG3456789012,13054768921,7032159486,U58739DL2013PTC,69482530718,XCVB56789V,VIJAYA890123456,LOYAL86413752,UCIC300014615,1809452783612905,DG_1_24,DG_2_24,DG_3_24,DG_4_24,DG_5_24,DG_6_24,DG_7_24,DG_8_24,DG_9_24,DG_10_24,Finnone,Co-Applicant,Male,Corporate,Spouse,N,Smt,REMARK_24,"12-6-789/43K, Sapphire Apartments, Near City Park, Hitech City, Hyderabad",Bijapur,900003,Telangana,I_n+d_i^a,PERMANENT,"789, Mount View Apartments, Guindy, Chennai, Tamil Nadu 600032",Boduppal,040-65432109,RESIDENCE,logan.harris567@gmail.com,PERMANENT,RPT_1_24,RPT_2_24,RPT_3_24,RPT_4_24,RPT_5_24
I024,C_I_25,L_I_25,B_I_25,D_I_25,PS_B_25,kranthi,reddy,chotu,Rohan Thakur,Rohan Khurana,Pari Verma,Karthik Kapoor,Armaan Thakur,21-09-1977,ZXCVB9631Y,PA5244022,EPIC/8625 4071,600000000000,LKJHG4567890123,27346582019,4512097683,U93214RJ2016PTC,12893467509,ZAQW43210W,KVB5678901234,LOYAL54927836,UCIC300014616,4783561239087541,DG_1_25,DG_2_25,DG_3_25,DG_4_25,DG_5_25,DG_6_25,DG_7_25,DG_8_25,DG_9_25,DG_10_25,Finnone,Co-Applicant,Female,Corporate,Spouse,N,Sri,REMARK_25,"23-5-678/32G, Golden Glades, Beside Green Park, Banjara Hills, Hyderabad",Cuttack,110004,Tripura,I@n-d-i.a,TEMPORARY,"L-101, Riverfront Residency, Ahmedabad, Gujarat 380009",Langer House,040-54321098,OFFICE,grace.lewis901@hotmail.com,TEMPORARY,RPT_1_25,RPT_2_25,RPT_3_25,RPT_4_25,RPT_5_25
